"Which OSI layer is responsible for establishing, managing, and terminating identified sessions between applications?",multiple-choice,"Transport Layer","Session Layer","Presentation Layer","Application Layer",,,,,,,,,,,,"2","-  The Session Layer, which is Layer 5 of the OSI model, is responsible for establishing, managing, and terminating connections between applications.",Network+
"What is the primary purpose of a VLAN?",multiple-choice,"To extend the physical network","To provide a secure tunnel for data transmission","To segment a network into multiple broadcast domains","To prioritize traffic based on QoS",,,,,,,,,,,,"3","-  VLANs (Virtual Local Area Networks) are used to segment a network into multiple broadcast domains, which can improve network performance and security.",Network+
"In a TCP/IP model, which layer includes the TCP protocol?",multiple-choice,"Internet Layer","Network Interface Layer","Transport Layer","Application Layer",,,,,,,,,,,,"3","-  The Transport Layer defines how data is shared on a network of already connected machines. It includes two main protocols : TCP and UDP.",Network+
"What does a subnet mask do?",multiple-choice,"Filters unwanted network traffic","Divides an IP address into network and host portions","Masks the IP address of a subnet","Encrypts data on a subnet",,,,,,,,,,,,"2","-  A subnet mask is used to divide the IP address into the network and host portions, determining which part of the address describes a specific host and which part of the address describes the network itself.",Network+
"Which command is used to display the routing table on a Windows computer?",multiple-choice,"route PRINT","ifroute","ip config /all","tracert",,,,,,,,,,,,"1","The `route PRINT` command in Windows displays the current routing table, showing network destinations, masks, gateways, interfaces, and metrics.",Network+
"What wireless technology standard operates at a frequency of 5 GHz and offers up to 1.3 Gbps data rate?",multiple-choice,"802.11b","802.11g","802.11n","802.11ac",,,,,,,,,,,,"4","-  The 802.11ac standard operates at a 5GHz frequency and offers higher data rates, up to 1.3 Gbps, compared to previous standards operating at either 2.4GHz or 5GHz but offering lower bandwidth.",Network+
"In network security, what is the main function of an IDS?",multiple-choice,"To block malicious traffic","To detect and alert on potential security threats","To filter content based on policies","To encrypt data transmission",,,,,,,,,,,,"2","-  An Intrusion Detection System (IDS) monitors network traffic for suspicious activity and issues alerts when potential threats are detected. It does not block data, contrary to an IPS (Intrusion Prevention System).",Network+
"Which protocol is used for *securely* transferring files over a network?",multiple-choice,"FTP","SNMP","SFTP","FTP2",,,,,,,,,,,,"3","-  Secure File Transfer Protocol (SFTP) is used for securely transferring files over a network, providing encryption and secure authentication methods, contrary to FTP. FTP2 does not exists and SNMP is not file transfer protocol.",Network+
"What is an IP address conflict and how can it be resolved?",multiple-choice,"A situation where two devices have the same IP address, often resolved by renewing the DHCP lease","A mismatch in subnet masks, resolved by reconfiguring network settings","An error in DNS resolution, fixed by clearing the DNS cache","A firewall blocking IP addresses, resolved by updating firewall rules",,,,,,,,,,,,"1","-  An IP address conflict occurs when two devices on the same network are assigned the same IP address. It can often be resolved by renewing the DHCP lease or manually assigning a unique IP address to one of the machines.",Network+
"In a network, what is the purpose of QoS?",multiple-choice,"To manage and prioritize bandwidth usage for different types of traffic","To encrypt sensitive network traffic","To segment the network into different VLANs","To provide redundancy in case of network failures",,,,,,,,,,,,"1","-  Quality of Service (QoS) is used in networks to manage and prioritize bandwidth usage for different types of traffic, ensuring that critical applications receive the necessary bandwidth.",Network+
"How does a switch differ from a hub in terms of network traffic management?",multiple-choice,"A switch sends data to all connected devices","A hub creates separate collision domains for each port","A switch sends data only to the intended recipient","A hub operates at a higher OSI model layer",,,,,,,,,,,,"2","-  Unlike a hub, which broadcasts data to all connected devices, a switch creates separate collision domains for each port and sends data only to the intended recipient. This improves network efficiency and security.",Network+
"What is the function of an ARP (Address Resolution Protocol)?",multiple-choice,"To translate domain names to IP addresses","To encrypt data packets for secure transmission","To resolve IP addresses to MAC (hardware) addresses","To allocate IP addresses to devices on the network",,,,,,,,,,,,"3","-  ARP is used to map or resolve IP addresses to their corresponding MAC (hardware) addresses, enabling communication within a local network segment.",Network+
"What does the term 'latency' mean in network communication?",multiple-choice,"The speed of data transfer","The time it takes for data to travel from source to destination","The amount of data that can be transmitted in a given time","The error rate in data transmission",,,,,,,,,,,,"2","-  Latency in network communication refers to the delay or time it takes for data to travel from the source to the destination. Lower latency implies faster communication.",Network+
"Review the following CIDR notation. What is the subnet mask equivalent of /24? 192.168.0.1/24",multiple-choice,"255.255.255.0","255.255.0.0","255.0.0.0","255.255.255.128",,,,,,,,,,,,"1","-  The /24 CIDR notation corresponds to a subnet mask of 255.255.255.0, which means the first 24 bits of the IP address are used for the network portion. The 8 remaining bits can be used to identify machines on the network.",Network+
"What type of attack involves overwhelming a network service with excessive, unnecessary traffic?",multiple-choice,"Phishing attack","Man-in-the-middle attack","DDoS (Distributed Denial of Service) attack","SQL injection",,,,,,,,,,,,"3","-  A DDoS (Distributed Denial of Service) attack involves overwhelming a service with excessive traffic from multiple sources, rendering it unavailable to legitimate users.",Network+
"What is the primary function of SNMP (Simple Network Management Protocol)?",multiple-choice,"To route data between different networks","To encrypt network traffic","To easily manage network devices such as routers and switches","To provide user authentication on a network",,,,,,,,,,,,"3","-  SNMP is used for managing network devices like routers, switches, servers, workstations, printers, and more. It helps in network management by monitoring these devices for conditions that warrant administrative attention.",Network+
"Consider the following IP address and subnet mask. How many hosts can be supported on this network? 192.168.1.0/24",multiple-choice,"254","255","256","512",,,,,,,,,,,,"1","-  With a subnet mask of 255.255.255.0 (/24), the network can support up to 254 hosts. The subnet has 256 addresses in total, but one is reserved for the network address and one for the broadcast address.",Network+
"In the context of network security, what is a honeypot?",multiple-choice,"A tool for encrypting network traffic","A device or software used to attract and analyze potential cyberattacks","A form of firewall","A type of anti-virus software",,,,,,,,,,,,"2","-  A honeypot is a security mechanism set to detect, deflect, or in some manner counteract attempts at unauthorized use of information systems. It typically mimics a potential target for attackers.",Network+
"What is IPv6, and how does it differ from IPv4?",multiple-choice,"A new encryption protocol","The latest version of SNMP","The latest version of the Internet Protocol, offering a larger address space than IPv4","An advanced routing protocol",,,,,,,,,,,,"3","-  IPv6 is the most recent version of the Internet Protocol (IP) and is intended to replace IPv4. It offers a vastly larger address space, better security features, and improved efficiency.",Network+
