"Which of these strings corresponds to a double-blind SQL injection attempt?",multiple-choice,"' OR 1=1","&apos; AND IF EXISTS(SELECT &ast; FROM users WHERE username='admin') WAITFOR DELAY '0:0:10' &lsqb;KO&rsqb;&NewLine;","&apos; AND IF EXISTS SELECT &ast; FROM users WHERE username='admin' and password LIKE '%a'&NewLine;","' UNION SELECT password FROM users WHERE username='admin'",,,,,,,,,,,,"2","-  The second option is a double-blind SQL injection, where the attacker infers database structure and content by observing the server's response time, rather than directly extracting data.",websec
"Which of these tools are vulnerability scanners?",multiple-choice,"nikto","ZAProxy","nessus","dirbuster","amass",,,,,,,,,,,"1,2,3","-  Nikto, ZAProxy, and Nessus are well-known vulnerability scanning tools used for identifying security weaknesses in web applications and network services.",websec
"Which of these strings corresponds to an XSS injection?",multiple-choice,";$(id)","1 union select * from users","&lt;img src='' onerror='prompt(1)'/&gt;","https://domain.name?code=1234;https://hack.courses",,,,,,,,,,,,"3","-  The third option is an example of Cross-Site Scripting (XSS) attack, where a malicious script is executed in the user's browser.",websec
"Which of these strings corresponds to a command injection?",multiple-choice,";$(id)","1 union select * from users","&lt;img src='' onerror='prompt(1)'/&gt;","https://domain.name?code=1234;https://hack.courses",,,,,,,,,,,,"1","-  The first option illustrates a command injection attack, where commands are executed on the server hosting the web application.",websec
"SQL injection on a server is made possible by...",multiple-choice,"A vulnerability in server-side code","A vulnerability in a database engine","A vulnerability in client-side code",,,,,,,,,,,,,"1","-  SQL injection is made possible by vulnerabilities in server-side code, where user inputs are not properly sanitized or parameterized, leading to the execution of unintended SQL commands.",websec
"Which of these is not a category in the OWASP Top 10 2021?",multiple-choice,"Easy to guess identifiers","Injections","Use of components with known vulnerabilities","SSRF vulnerabilities","Lack of logging and monitoring",,,,,,,,,,,"1","-  'Easy to guess identifiers' is not listed as a category in the OWASP Top 10 for 2021, which focuses on the most significant web application security risks.",websec
"Which section of a JWT contains the name of the algorithm used for signing the token?",multiple-choice,"The first","The second","The third","The fourth",,,,,,,,,,,,"1","-  In a JWT (JSON Web Token), the first section (header) contains information about the token's type and the algorithm used for signing.",websec
"Which of these strings is most likely an MD5 hash?",multiple-choice,"9cdfb439c7876e703e307864c9167a15","9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08","ee26b0dd4af7e749aa1a8ee3c10ae9923f618980772e473f8819a5d4940e0db27ac185f8a0e1d5f84f88bc887fd67b143732c304cc5fa9ad8e6f57f50028a8ff","ZWUyNmIwZGQ0YWY3ZTc0OWFhMWE4ZWUzYzEwYWU5OTIzZjYxODk4MDc3MmU0NzNmODgxOWE1ZDQ5NDBlMGRiMjdhYzE4NWY4YTBlMWQ1Zjg0Zjg4YmM4ODdmZDY3YjE0MzczMmMzMDRjYzVmYTlhZDhlNmY1N2Y1MDAyOGE4ZmY=",,,,,,,,,,,,"1","-  The string '9cdfb439c7876e703e307864c9167a15' matches the typical format of an MD5 hash, a 32-character hexadecimal number.",websec
"Which of these strings is most likely encoded in base64?",multiple-choice,"9cdfb439c7876e703e307864c9167a15","9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08","ee26b0dd4af7e749aa1a8ee3c10ae9923f618980772e473f8819a5d4940e0db27ac185f8a0e1d5f84f88bc887fd67b143732c304cc5fa9ad8e6f57f50028a8ff","ZWUyNmIwZGQ0YWY3ZTc0OWFhMWE4ZWUzYzEwYWU5OTIzZjYxODk4MDc3MmU0NzNmODgxOWE1ZDQ5NDBlMGRiMjdhYzE4NWY4YTBlMWQ1Zjg0Zjg4YmM4ODdmZDY3YjE0MzczMmMzMDRjYzVmYTlhZDhlNmY1N2Y1MDAyOGE4ZmY=",,,,,,,,,,,,"4","-  The string ending in '=' and consisting of a mix of characters and numbers is indicative of base64 encoding, a common method for encoding binary data as text.",websec
"Which of these encryption algorithms and hash functions are deprecated and cryptographically insufficient?",multiple-choice,"MD5","SHA1","AES","DES","SHA2",,,,,,,,,,,"1,2,4","-  MD5, SHA1, and DES are considered cryptographically weak and are deprecated due to vulnerabilities that allow practical attacks. They are no longer recommended for secure applications.",websec
